ID,Project,Subject,"Change Order #","Client CO #","Invoice #",Actions,Status,Total,"Paid Total",Balance,"Scope of Work",Exclusion,"Labor Breakdown_type","Labor Breakdown_quantity","Labor Breakdown_hours","Labor Breakdown_rate","Material Breakdown_type","Material Breakdown_quantity","Material Breakdown_unit","Material Breakdown_rate","Equipment Breakdown_type","Equipment Breakdown_quantity","Equipment Breakdown_unit","Equipment Breakdown_rate"
284,,"Base Purchase Order ",7,0,,Paid,Closed,0,0,0,,,Foreman,,,,,,,,,,,
290,esb-prebuilt-45-46-floor,"PLM 3 Doors",1,1,,,Open,2900,0,2900,"Provide labor and material to receive doors only and install in 3 locations after existing doors are removed and we will reuse the existing hardware. Minimal door prep is included.

Van driver will drop off necessary tools, ladders.bits etc

71
",OT,Carpenters,1,16,160,Material,1,,340,,,,
291,esb-prebuilt-45-46-floor,"PLM Soffit on 45fl",2,2,,,Open,6720,0,6720,"Provide labor and material to build 2 hr rated soffit on 45fl per sk-1
 
",OT,Carpenters,1,42,160,,,,,,,,
293,esb-prebuilt-45-46-floor,"Bulletin #2",3,3,,Paid,Closed,17900,17900,0,"Bulletin #2

Suite 4620: 
-	Provide labor and material to create partition for new storage room.
-	Provide labor and material to patch for sprinklers in ceiling and patch for power and data plans.  
                                                                                                   Total:  $9,000.00
Suite 4610: 
-	Provide labor and material to scar patch demolition work.
-	Provide labor and material to create new headers fir office fronts. 
-	Provide labor and material to patch soffit and ceiling at old work and new work. 
                                                                                                   Total: $16,700.00 
",OT,Carpenters,,,,,,,,,,,
295,jp-morgan-chase-245-park-ave-16th-floor,"PL to expedite 16th floor.",1,1,,Paid,Closed,14730,10000,4730,"Provide labor to expedite 16th floor at 245 Park Ave. ",,"Carpenters,Carpenters,Carpenters","7,7,8","15,10,6","50,60,110",,,,,,,,
296,jp-morgan-chase-245-park-ave-16th-floor,"PLM for changes made in field per L&K's Directions.",2,2,,Paid,Closed,28320,23000,5320,"Provide labor and material to do all work associated with changes made in field per L&K’s Direction. On  1/25/2017 and walk through with Conor Fox.

-	Includes OT 
",,Foreman,1,1,28320,,,,,,,,
297,,"PLM Additional walls behind reception and fur out wall in women's room",1,1,,Paid,Closed,4960,4960,0,"Provide labor and material to frame and rock additional walls behind reception desk and furrr out wall in womens room [2nd time for vent pipe].  ",OT,"Carpenters,Tapers","1,1","21,7","160,150",Material,1,,550,,,,
298,,"PLM Install structural framing at hot water heater.",2,2,,Paid,Closed,4010,4010,0,"Provide labor and material to install structural framing at hot water heater per sketch provided by Gannon 
 
",OT,Carpenters,1,21,160,Material,1,,650,,,,
299,bny-101-barclay-st-5th-floor,"PL for plywood backing for TV mount in rooms",4,4,,Paid,Closed,2800,2800,0,"Add plywood backing for TV mount in rooms 5M02, N03, N06, N07, N24, N26, N28, N29     Total (8)",OT,Carpenters,1,1,2800,,,,,,,,
301,bny-101-barclay-st-5th-floor,"Bulletin # 2",6,6,,Paid,Closed,8550,8550,0,"Bulletin #2 dated 4-7-17

Room 05S14- Add 7 lf B3FS- 4-ply to slab-insulated              $2,250
Room 05N02,3- Add 12 lf B3FS- 4-ply to slab-insulated        $3,900
Seating area 05L11 Delete 10’ chase wall and TV niche   ($1,100)
Extend sheetrock soffits at ends of corridor 5’ each             $875
Tape and skim radius wall                                                        $2,400
",OT,Foreman,1,1,8550,,,,,,,,
308,milos-125-w55st,"SE 003 - Furnish and install HMxHM and deliver to site",3,3,,Paid,Closed,650,650,0,"Furnish and install HMxHM and deliver to site ",OT,Carpenters,1,1,650,,,,,,,,
309,nyu-langone-360-park-ave-south-6-7-8th-floor,"PL to remove ceiling",1,1,,"Work Completed",Open,2240,0,2240,"Provide labor to have 2 men remove ceiling tile per JT magens direction on the 9th and 10th fl at 360 park ave south ",OT,Carpenters,1,14,160,,,,,,,,
313,flatiron-162-5th-ave-4th-floor,"PLM to laminate 308lf at a perimetre of 4fl/Also provide credit for money carried at base bid",1,1,,Paid,Closed,12320,12320,0,"Provide labor and material to laminate 308lf of at perimeter of 4fl per Christopher Metz direction.
Also provide credit for money carried at base bid 

Add 18,480
Credit 6,160
",OT,Carpenters,1,1,12320,,,,,,,,
