total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal
133000.00,0.00,133000.00,8.00,0.00,0.00,193.00,133000.00,0.00,8.00,165.00
27248.00,0.00,27248.00,8.00,0.00,0.00,248.00,27248.00,0.00,8.00,0.00
-5000.00,0.00,-5000.00,0.00,0.00,0.00,251.00,0.00,0.00,0.00,0.00
13852.00,0.00,13852.00,0.00,0.00,0.00,252.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,8.00,0.00,0.00,253.00,0.00,0.00,8.00,0.00
3100.00,0.00,3100.00,0.00,0.00,0.00,254.00,0.00,0.00,0.00,0.00
21337.00,0.00,21337.00,0.00,0.00,0.00,255.00,0.00,0.00,0.00,0.00
8000.00,0.00,8000.00,0.00,0.00,0.00,256.00,0.00,0.00,0.00,0.00
83602.00,0.00,83602.00,0.00,0.00,0.00,273.00,0.00,0.00,0.00,0.00
27000.00,0.00,27000.00,0.00,0.00,0.00,274.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,8.00,0.00,0.00,287.00,0.00,0.00,8.00,0.00
2667.00,0.00,2667.00,0.00,0.00,0.00,288.00,0.00,0.00,0.00,0.00
-56667.00,0.00,-56667.00,0.00,0.00,0.00,289.00,0.00,0.00,0.00,0.00
1199.00,0.00,1199.00,0.00,0.00,0.00,290.00,0.00,0.00,0.00,0.00
23887.73,0.00,23887.73,0.00,0.00,0.00,291.00,0.00,0.00,0.00,0.00
23373.00,0.00,23373.00,0.00,0.00,0.00,292.00,0.00,0.00,0.00,0.00
16247.00,0.00,16247.00,0.00,0.00,0.00,293.00,0.00,0.00,0.00,0.00
1200000.00,0.00,1200000.00,8.00,0.00,0.00,325.00,1200000.00,0.00,8.00,0.00
-239000.00,0.00,-239000.00,8.00,0.00,0.00,326.00,-239000.00,0.00,8.00,0.00
292.32,0.00,292.32,0.00,0.00,0.00,367.00,0.00,0.00,0.00,0.00
330000.00,0.00,330000.00,0.00,0.00,0.00,368.00,0.00,0.00,0.00,0.00
6727.00,0.00,6727.00,0.00,0.00,0.00,369.00,0.00,0.00,0.00,0.00
437.75,0.00,437.75,0.00,0.00,0.00,370.00,0.00,0.00,0.00,0.00
-17000.00,0.00,-17000.00,8.00,0.00,0.00,371.00,-17000.00,0.00,8.00,0.00
7400.00,0.00,7400.00,0.00,0.00,0.00,9.00,7400.00,0.00,0.00,0.00
1425.60,0.00,1425.60,8.00,165.00,0.00,21.00,0.00,1.00,8.00,165.00
7650.00,0.00,7650.00,8.00,200.00,1370.00,22.00,0.00,4.00,16.00,385.00
3040.00,0.00,3040.00,8.00,200.00,0.00,29.00,1000.00,3.00,18.00,1000.00
3000.00,0.00,3000.00,0.00,0.00,0.00,32.00,3000.00,0.00,0.00,0.00
2766.00,0.00,2766.00,8.00,165.00,166.00,34.00,0.00,2.00,16.00,325.00
1155.00,0.00,1155.00,0.00,0.00,0.00,36.00,1155.00,0.00,0.00,0.00
1980.00,0.00,1980.00,6.00,165.00,0.00,38.00,0.00,2.00,6.00,165.00
2930.00,0.00,2930.00,8.00,165.00,290.00,39.00,0.00,2.00,8.00,165.00
960.00,0.00,960.00,0.00,0.00,0.00,40.00,960.00,0.00,0.00,0.00
3960.00,0.00,3960.00,0.00,0.00,0.00,41.00,3960.00,0.00,0.00,0.00
