,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
0,133000.0,0.0,133000.0,8.0,0.0,0.0,193.0,133000.0,0.0,8.0,165.0,0
1,27248.0,0.0,27248.0,8.0,0.0,0.0,248.0,27248.0,0.0,8.0,0.0,0
2,-5000.0,0.0,-5000.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0
3,13852.0,0.0,13852.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,8.0,0.0,0.0,253.0,0.0,0.0,8.0,0.0,0
5,3100.0,0.0,3100.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0
6,21337.0,0.0,21337.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0
7,8000.0,0.0,8000.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0
8,83602.0,0.0,83602.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0
9,27000.0,0.0,27000.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0
10,0.0,0.0,0.0,8.0,0.0,0.0,287.0,0.0,0.0,8.0,0.0,0
11,2667.0,0.0,2667.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0
12,-56667.0,0.0,-56667.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0
13,1199.0,0.0,1199.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0
14,23887.73,0.0,23887.73,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0
15,23373.0,0.0,23373.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0
16,16247.0,0.0,16247.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0
17,1200000.0,0.0,1200000.0,8.0,0.0,0.0,325.0,1200000.0,0.0,8.0,0.0,0
18,-239000.0,0.0,-239000.0,8.0,0.0,0.0,326.0,-239000.0,0.0,8.0,0.0,0
19,292.32,0.0,292.32,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,0
20,330000.0,0.0,330000.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0
21,6727.0,0.0,6727.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0
22,437.75,0.0,437.75,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0
23,-17000.0,0.0,-17000.0,8.0,0.0,0.0,371.0,-17000.0,0.0,8.0,0.0,0
24,7400.0,0.0,7400.0,0.0,0.0,0.0,9.0,7400.0,0.0,0.0,0.0,0
28,3000.0,0.0,3000.0,0.0,0.0,0.0,32.0,3000.0,0.0,0.0,0.0,0
30,1155.0,0.0,1155.0,0.0,0.0,0.0,36.0,1155.0,0.0,0.0,0.0,0
33,960.0,0.0,960.0,0.0,0.0,0.0,40.0,960.0,0.0,0.0,0.0,0
34,3960.0,0.0,3960.0,0.0,0.0,0.0,41.0,3960.0,0.0,0.0,0.0,0
35,124000.0,0.0,124000.0,0.0,0.0,0.0,42.0,124000.0,0.0,0.0,0.0,0
38,6980.0,0.0,6980.0,8.0,0.0,0.0,48.0,6980.0,3.0,16.0,0.0,0
42,4900.0,0.0,4900.0,0.0,0.0,0.0,54.0,4900.0,0.0,0.0,0.0,0
46,660.0,0.0,660.0,0.0,0.0,280.0,62.0,660.0,0.0,0.0,0.0,0
50,6336.0,0.0,6336.0,8.0,0.0,0.0,66.0,6336.0,4.0,16.0,0.0,0
53,12000.0,20900.0,-8900.0,3.0,0.0,0.0,73.0,12000.0,5.0,6.0,0.0,0
59,38750.0,0.0,38750.0,0.0,0.0,0.0,93.0,38750.0,0.0,0.0,0.0,0
61,7426.0,7426.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0
63,3120.0,0.0,3120.0,2.0,0.0,0.0,99.0,3120.0,8.0,2.0,0.0,0
65,1300.0,0.0,1300.0,8.0,0.0,0.0,101.0,1300.0,3.0,16.0,0.0,0
67,4460.0,0.0,4460.0,8.0,0.0,0.0,103.0,4460.0,1.0,8.0,0.0,0
72,14940.0,0.0,14940.0,8.0,0.0,0.0,114.0,14940.0,6.0,16.0,0.0,0
74,7400.0,0.0,7400.0,0.0,0.0,0.0,9.0,7400.0,0.0,0.0,0.0,0
78,3000.0,0.0,3000.0,0.0,0.0,0.0,32.0,3000.0,0.0,0.0,0.0,0
80,1155.0,0.0,1155.0,0.0,0.0,0.0,36.0,1155.0,0.0,0.0,0.0,0
83,960.0,0.0,960.0,0.0,0.0,0.0,40.0,960.0,0.0,0.0,0.0,0
84,3960.0,0.0,3960.0,0.0,0.0,0.0,41.0,3960.0,0.0,0.0,0.0,0
